pair,credits,seed,lock_in,hold,n_sms,rule_any,target_any,trigger_any,conseq_any
qwen x llama,2,510,1,1.0,4,0,1,0,0
qwen x llama,2,511,1,1.0,4,0,1,0,0
qwen x llama,2,506,0,0.4166666666666667,4,0,1,0,0
qwen x llama,2,513,0,0.16666666666666666,4,0,1,0,0
qwen x llama,2,508,0,0.16666666666666666,4,0,1,0,0
qwen x llama,2,509,0,0.16666666666666666,4,0,1,0,0
qwen x llama,2,507,0,0.16666666666666666,4,0,1,0,0
qwen x llama,2,517,0,0.16666666666666666,4,0,1,0,0
qwen x llama,2,515,0,0.0,4,0,1,0,0
qwen x llama,2,514,0,0.08333333333333333,4,0,1,0,0
qwen x llama,2,516,0,0.0,4,0,1,0,0
qwen x llama,2,519,0,0.16666666666666666,4,0,1,0,0
qwen x llama,2,518,0,0.16666666666666666,4,0,1,0,0
qwen x llama,2,512,0,0.0,4,0,1,1,0
qwen x llama,3,500,0,0.0,6,0,1,0,0
qwen x llama,3,501,0,0.0,6,0,1,0,0
qwen x llama,3,502,0,0.25,6,0,1,0,0
qwen x llama,3,506,0,0.25,6,0,1,0,0
qwen x llama,3,505,1,1.0,6,0,1,0,0
qwen x llama,3,503,0,0.8333333333333334,6,0,1,0,0
qwen x llama,3,507,0,0.25,6,0,1,0,0
qwen x llama,3,504,0,0.25,6,0,1,0,0
qwen x llama,3,508,0,0.0,6,1,1,1,1
qwen x llama,3,510,0,0.3333333333333333,6,0,1,0,0
qwen x llama,3,509,0,0.0,6,0,1,1,0
qwen x llama,3,513,0,0.16666666666666666,6,0,1,0,0
qwen x llama,3,515,1,1.0,6,0,1,0,0
qwen x llama,3,514,0,0.0,6,0,1,1,1
qwen x llama,3,512,0,0.16666666666666666,6,0,1,0,0
qwen x llama,3,516,1,1.0,6,0,1,0,0
qwen x llama,3,511,0,0.0,6,0,1,0,0
qwen x llama,3,517,0,0.16666666666666666,6,0,1,0,0
qwen x llama,3,518,1,1.0,6,0,1,0,0
qwen x llama,3,519,0,0.16666666666666666,6,0,1,0,0
qwen x llama,4,504,0,0.0,8,0,1,1,1
qwen x llama,4,502,0,0.25,8,0,1,1,1
qwen x llama,4,503,0,0.4166666666666667,8,0,1,0,1
qwen x llama,4,505,0,0.3333333333333333,8,0,1,0,0
qwen x llama,4,500,0,0.16666666666666666,8,0,1,0,0
qwen x llama,4,501,0,0.0,8,0,1,1,0
qwen x llama,4,506,0,0.16666666666666666,8,0,1,0,0
qwen x llama,4,508,0,0.16666666666666666,8,0,1,0,0
qwen x llama,4,509,0,0.25,8,1,1,1,1
qwen x llama,4,511,0,0.0,8,1,1,1,1
qwen x llama,4,510,0,0.4166666666666667,8,0,1,0,0
qwen x llama,4,507,0,0.16666666666666666,8,0,1,1,1
qwen x llama,4,512,0,0.0,8,0,1,1,0
qwen x llama,4,513,0,0.4166666666666667,8,0,1,0,0
qwen x llama,4,515,0,0.25,8,0,1,0,0
qwen x llama,4,517,0,0.25,8,0,1,0,0
qwen x llama,4,516,1,0.75,8,0,1,1,1
qwen x llama,6,500,1,1.0,10,0,1,0,0
qwen x llama,6,501,0,0.6666666666666666,12,0,1,0,0
qwen x llama,6,502,0,0.0,12,0,1,1,1
qwen x llama,4,514,0,0.0,8,0,1,0,0
qwen x llama,4,518,0,0.16666666666666666,8,0,1,1,1
qwen x llama,4,519,0,0.0,8,0,1,0,0
qwen x llama,6,503,0,0.3333333333333333,12,1,1,1,1
qwen x llama,6,507,0,0.16666666666666666,12,0,1,1,0
qwen x llama,6,509,1,1.0,12,0,1,0,0
qwen x llama,6,505,1,1.0,9,0,1,0,0
qwen x llama,6,504,0,0.08333333333333333,12,0,1,0,0
qwen x llama,6,510,0,0.25,12,1,1,1,1
qwen x llama,6,506,0,0.4166666666666667,12,0,1,0,0
qwen x llama,6,508,0,0.5,12,0,1,1,0
qwen x llama,6,512,0,0.5833333333333334,12,0,1,0,0
qwen x llama,6,515,1,1.0,12,0,1,0,0
qwen x llama,6,511,0,0.0,12,0,1,1,0
qwen x llama,6,514,0,0.0,12,0,1,1,1
qwen x llama,6,518,0,0.0,12,0,1,1,0
qwen x llama,6,516,0,0.8333333333333334,12,0,1,0,0
qwen x llama,6,513,0,0.5,12,0,1,0,0
qwen x llama,8,504,1,1.0,16,0,1,1,0
qwen x llama,6,517,0,0.08333333333333333,12,1,1,1,1
qwen x llama,8,501,0,0.75,16,0,1,0,0
qwen x llama,8,502,0,0.08333333333333333,16,1,1,1,1
qwen x llama,6,519,0,0.0,12,0,1,1,1
qwen x llama,8,505,0,0.16666666666666666,16,1,1,1,1
qwen x llama,8,506,0,0.0,16,1,1,1,1
qwen x llama,8,503,0,0.25,16,0,1,1,1
qwen x llama,8,500,0,0.5,16,0,1,0,0
qwen x llama,8,507,0,0.0,16,1,1,1,1
qwen x llama,8,509,1,1.0,16,0,1,0,0
qwen x llama,8,513,0,0.0,16,1,1,1,1
qwen x llama,8,515,0,0.5,16,1,1,1,1
qwen x llama,8,517,1,0.5833333333333334,16,1,1,1,1
qwen x llama,8,511,0,0.25,16,0,1,0,1
qwen x llama,8,512,0,0.25,16,1,1,1,1
qwen x llama,8,508,0,0.0,16,0,1,1,0
qwen x llama,8,516,1,1.0,14,0,1,0,0
qwen x llama,8,518,0,0.6666666666666666,16,0,1,0,0
qwen x llama,8,514,1,1.0,14,0,1,0,0
qwen x llama,8,510,0,0.08333333333333333,16,0,1,1,1
qwen x llama,12,500,0,0.0,24,0,1,1,1
qwen x llama,12,502,0,0.0,24,0,1,1,1
qwen x llama,8,519,0,0.0,16,1,1,1,1
qwen x llama,12,503,1,1.0,20,0,1,0,0
qwen x llama,12,501,0,0.0,24,1,1,1,1
qwen x llama,12,504,0,0.08333333333333333,22,1,1,1,1
qwen x llama,12,506,0,0.0,23,0,1,1,0
qwen x llama,12,511,0,0.6666666666666666,23,0,1,1,1
qwen x llama,12,510,0,0.9166666666666666,14,0,1,0,0
qwen x llama,12,505,1,1.0,19,0,1,0,0
qwen x llama,12,508,0,0.5833333333333334,21,1,1,1,1
qwen x llama,12,513,1,1.0,21,0,1,0,0
qwen x llama,12,514,0,0.16666666666666666,21,0,1,1,0
qwen x llama,12,516,0,0.0,23,1,1,1,1
qwen x llama,12,507,1,1.0,19,0,1,0,0
qwen x llama,12,515,0,0.5,24,1,1,1,1
qwen x llama,12,509,1,1.0,18,0,1,0,0
qwen x llama,12,512,0,0.0,23,1,1,1,1
qwen x llama,12,518,0,0.0,22,0,1,1,1
qwen x llama,12,517,1,1.0,18,0,1,0,0
qwen x llama,12,519,0,0.0,23,1,1,1,1
qwen x deepseek,0,500,1,1.0,0,0,0,0,0
qwen x deepseek,0,507,1,0.8333333333333334,0,0,0,0,0
qwen x deepseek,0,510,1,1.0,0,0,0,0,0
qwen x deepseek,0,508,0,0.6666666666666666,0,0,0,0,0
qwen x deepseek,0,511,0,0.0,0,0,0,0,0
qwen x deepseek,0,503,0,0.08333333333333333,0,0,0,0,0
qwen x deepseek,0,502,0,0.0,0,0,0,0,0
qwen x deepseek,0,506,1,0.8333333333333334,0,0,0,0,0
qwen x deepseek,0,515,1,1.0,0,0,0,0,0
qwen x deepseek,0,512,0,0.8333333333333334,0,0,0,0,0
qwen x deepseek,0,501,0,0.5,0,0,0,0,0
qwen x deepseek,0,514,1,1.0,0,0,0,0,0
qwen x deepseek,0,513,0,0.0,0,0,0,0,0
qwen x deepseek,0,509,0,0.16666666666666666,0,0,0,0,0
qwen x deepseek,0,504,0,0.0,0,0,0,0,0
qwen x deepseek,0,505,0,0.0,0,0,0,0,0
qwen x deepseek,0,517,1,1.0,0,0,0,0,0
qwen x deepseek,0,518,1,0.75,0,0,0,0,0
qwen x deepseek,1,500,1,1.0,2,0,1,0,0
qwen x deepseek,1,503,1,1.0,2,0,1,0,0
qwen x deepseek,0,519,1,0.75,0,0,0,0,0
qwen x deepseek,1,502,1,1.0,2,0,1,0,0
qwen x deepseek,1,505,1,0.9166666666666666,2,0,1,0,0
qwen x deepseek,0,516,0,0.3333333333333333,0,0,0,0,0
qwen x deepseek,1,504,0,0.8333333333333334,2,0,1,0,0
qwen x deepseek,1,507,1,1.0,2,0,1,1,1
qwen x deepseek,1,508,1,1.0,2,0,1,0,0
qwen x deepseek,1,501,1,0.8333333333333334,2,0,1,0,0
qwen x deepseek,1,511,0,0.0,2,0,1,0,0
qwen x deepseek,1,506,1,1.0,2,0,1,1,0
qwen x deepseek,1,509,1,0.3333333333333333,2,0,1,0,0
qwen x deepseek,1,510,0,0.0,2,0,1,0,0
qwen x deepseek,1,513,1,1.0,2,0,1,0,0
qwen x deepseek,1,512,1,1.0,2,0,1,0,0
qwen x deepseek,1,517,1,1.0,2,0,1,0,0
qwen x deepseek,1,514,1,1.0,2,0,1,0,0
qwen x deepseek,1,515,1,1.0,2,0,1,0,0
qwen x deepseek,1,516,1,1.0,2,0,1,1,1
qwen x deepseek,1,519,1,1.0,2,0,1,0,0
qwen x deepseek,2,501,1,1.0,4,0,1,1,0
qwen x deepseek,1,518,0,0.16666666666666666,2,0,1,0,0
qwen x deepseek,2,503,1,1.0,4,0,1,0,0
qwen x deepseek,2,502,0,0.0,4,0,1,0,0
qwen x deepseek,2,506,1,1.0,4,0,1,0,0
qwen x deepseek,2,507,1,1.0,4,0,1,0,0
qwen x deepseek,2,505,0,0.0,4,0,1,1,0
qwen x deepseek,2,500,0,0.08333333333333333,4,0,1,0,0
qwen x deepseek,2,504,0,0.8333333333333334,4,0,1,0,0
qwen x deepseek,2,508,1,1.0,4,0,1,0,0
qwen x deepseek,2,511,1,1.0,4,0,1,0,0
qwen x deepseek,2,513,1,1.0,4,0,1,0,0
qwen x deepseek,2,509,1,1.0,4,0,1,0,0
qwen x deepseek,2,510,0,0.16666666666666666,4,0,1,0,0
qwen x deepseek,2,514,1,1.0,4,0,1,0,0
qwen x deepseek,2,512,1,0.75,4,0,1,0,0
qwen x deepseek,2,515,1,1.0,4,0,1,0,0
qwen x deepseek,3,500,1,0.9166666666666666,6,0,1,0,0
qwen x deepseek,2,516,0,0.0,4,0,1,1,1
qwen x deepseek,2,519,1,0.9166666666666666,4,0,1,1,1
qwen x deepseek,2,518,1,0.8333333333333334,4,0,1,1,1
qwen x deepseek,2,517,1,0.9166666666666666,4,1,1,1,1
qwen x deepseek,3,502,1,1.0,6,0,1,0,0
qwen x deepseek,3,501,0,0.0,6,0,1,1,0
qwen x deepseek,3,504,1,1.0,6,0,1,0,0
qwen x deepseek,3,507,1,1.0,6,0,1,1,0
qwen x deepseek,3,503,1,1.0,6,0,1,0,0
qwen x deepseek,3,506,1,1.0,6,0,1,0,0
qwen x deepseek,3,505,1,1.0,6,0,1,0,0
qwen x deepseek,3,509,1,0.9166666666666666,6,0,1,1,0
qwen x deepseek,3,510,0,0.8333333333333334,6,0,1,0,0
qwen x deepseek,3,511,1,1.0,6,0,1,0,0
qwen x deepseek,3,508,1,0.8333333333333334,6,1,1,1,1
qwen x deepseek,3,514,1,1.0,6,0,1,0,0
qwen x deepseek,3,512,1,1.0,6,0,1,0,0
qwen x deepseek,3,518,1,0.9166666666666666,6,0,1,1,0
qwen x deepseek,3,517,1,1.0,6,0,1,0,0
qwen x deepseek,3,513,0,0.25,6,0,1,0,0
qwen x deepseek,3,516,0,0.0,6,1,1,1,1
qwen x deepseek,3,519,1,1.0,6,0,1,1,0
qwen x deepseek,3,515,1,1.0,6,0,1,1,0
qwen x deepseek,4,501,1,1.0,8,0,1,0,0
qwen x deepseek,4,504,0,0.0,8,1,1,1,1
qwen x deepseek,4,500,1,1.0,8,0,1,1,0
qwen x deepseek,4,502,1,0.9166666666666666,8,0,1,1,0
qwen x deepseek,4,503,1,1.0,8,0,1,1,0
qwen x deepseek,4,505,1,1.0,8,0,1,0,0
qwen x deepseek,4,507,1,1.0,8,0,1,0,0
qwen x deepseek,4,506,1,0.9166666666666666,8,1,1,1,1
qwen x deepseek,4,510,1,1.0,8,0,1,0,0
qwen x deepseek,4,508,0,0.08333333333333333,8,0,1,1,0
qwen x deepseek,4,509,1,1.0,8,0,1,1,0
qwen x deepseek,4,511,1,1.0,8,0,1,0,0
qwen x deepseek,4,513,0,0.8333333333333334,8,0,1,1,0
qwen x deepseek,4,512,1,1.0,8,0,1,0,0
qwen x deepseek,4,515,1,0.8333333333333334,8,0,1,1,0
qwen x deepseek,4,516,1,0.9166666666666666,8,0,1,1,0
qwen x deepseek,4,519,1,1.0,8,0,1,0,0
qwen x deepseek,4,514,1,0.75,8,0,1,0,0
qwen x deepseek,4,517,0,0.0,8,0,1,1,0
qwen x deepseek,4,518,0,0.0,8,0,1,1,1
qwen x deepseek,6,500,1,1.0,12,0,1,0,0
qwen x deepseek,6,502,1,1.0,12,0,1,0,0
qwen x deepseek,6,501,0,0.08333333333333333,12,0,1,1,1
qwen x deepseek,6,503,1,0.9166666666666666,12,0,1,0,0
qwen x deepseek,6,505,1,1.0,12,1,1,1,1
qwen x deepseek,6,504,1,1.0,12,1,1,1,1
qwen x deepseek,6,507,1,1.0,12,0,1,1,0
qwen x deepseek,6,508,1,1.0,12,0,1,1,0
qwen x deepseek,6,506,1,1.0,12,0,1,1,0
qwen x deepseek,6,509,1,1.0,12,0,1,0,0
qwen x deepseek,6,510,1,1.0,12,0,1,0,0
qwen x deepseek,6,511,1,1.0,12,0,1,1,0
qwen x deepseek,6,513,1,0.9166666666666666,12,0,1,1,0
qwen x deepseek,6,514,1,1.0,12,0,1,1,0
qwen x deepseek,6,515,0,0.08333333333333333,12,0,1,1,1
qwen x deepseek,6,512,1,0.75,12,0,1,1,1
qwen x deepseek,6,516,1,1.0,12,0,1,0,0
qwen x deepseek,6,517,1,1.0,12,0,1,0,0
qwen x deepseek,6,518,1,0.9166666666666666,12,0,1,1,0
qwen x deepseek,6,519,1,1.0,12,0,1,1,1
qwen x deepseek,8,501,1,0.9166666666666666,16,0,1,1,0
qwen x deepseek,8,500,1,1.0,16,0,1,0,0
qwen x deepseek,8,504,1,1.0,14,0,1,0,0
qwen x deepseek,8,503,1,1.0,16,0,1,1,0
qwen x deepseek,8,507,1,1.0,16,0,1,0,0
qwen x deepseek,8,506,0,0.0,16,1,1,1,1
qwen x deepseek,8,505,0,0.5,16,1,1,1,1
qwen x deepseek,8,502,0,0.5833333333333334,16,1,1,1,1
qwen x deepseek,8,508,1,1.0,16,0,1,0,0
qwen x deepseek,8,511,1,0.75,16,1,1,1,1
qwen x deepseek,8,510,1,0.8333333333333334,16,0,1,1,0
qwen x deepseek,8,512,1,1.0,16,0,1,0,0
qwen x deepseek,8,509,1,0.8333333333333334,16,0,1,0,0
qwen x deepseek,8,513,0,0.5,16,0,1,1,0
qwen x deepseek,8,514,0,0.5833333333333334,16,0,1,1,0
qwen x deepseek,8,515,1,1.0,16,0,1,0,0
qwen x deepseek,8,516,1,1.0,16,0,1,0,0
qwen x deepseek,8,518,1,1.0,16,0,1,0,0
qwen x deepseek,8,519,1,1.0,16,0,1,1,1
qwen x deepseek,8,517,1,0.9166666666666666,16,0,1,0,0
qwen x deepseek,12,500,1,1.0,22,0,1,0,0
qwen x deepseek,12,502,1,1.0,22,1,1,1,1
qwen x deepseek,12,503,1,1.0,24,0,1,0,0
qwen x deepseek,12,501,1,0.75,24,0,1,1,0
qwen x deepseek,12,504,1,1.0,21,0,1,0,0
qwen x deepseek,12,505,1,1.0,22,0,1,0,0
qwen x deepseek,12,509,1,1.0,22,0,1,0,0
qwen x deepseek,12,507,1,1.0,20,0,1,0,0
qwen x deepseek,12,510,1,1.0,23,0,1,0,0
qwen x deepseek,12,506,0,0.0,24,0,1,1,0
qwen x deepseek,12,508,1,1.0,20,0,1,0,0
qwen x deepseek,12,511,1,0.8333333333333334,23,0,1,1,0
qwen x deepseek,12,512,1,0.6666666666666666,23,0,1,1,0
qwen x deepseek,12,515,1,1.0,23,0,1,0,0
qwen x deepseek,12,513,1,1.0,22,0,1,0,0
qwen x deepseek,12,514,1,1.0,23,0,1,1,0
qwen x deepseek,12,516,1,1.0,20,0,1,0,0
qwen x deepseek,12,517,1,1.0,22,0,1,0,0
qwen x deepseek,12,519,1,1.0,22,0,1,0,0
qwen x deepseek,12,518,1,1.0,20,0,1,0,0
