pair,credits,seed,t,seat,text,target,trigger,consequence,rule,full_rule,intention,has_message
qwen x llama,1,513,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,1,512,0,A,"Let's HOLD, split the profit. Trust?",1,0,0,0,0,1,1
qwen x llama,1,512,1,B,"No trust, you exploited me",0,0,0,0,0,0,1
qwen x llama,1,515,0,A,Let's both HOLD. Maximize profits together.,1,0,0,0,0,1,1
qwen x llama,1,515,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,1,517,0,A,"Let's both HOLD, or it's war. 3-3 > 1-1.",1,0,0,0,0,1,1
qwen x llama,1,517,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,1,519,0,A,"Let's hold prices, share the profit. Trust?",1,0,0,0,0,1,1
qwen x llama,1,519,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,503,0,A,Let's both HOLD for mutual benefit.,1,0,0,0,0,1,1
qwen x llama,2,503,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,503,1,A,Cooperate. Let's both HOLD.,1,0,0,0,0,1,1
qwen x llama,2,503,1,B,"Agree, let's HOLD",1,0,0,0,0,1,1
qwen x llama,1,514,0,A,Let's both HOLD. Trust?,1,0,0,0,0,1,1
qwen x llama,1,514,1,B,No trust,0,0,0,0,0,0,1
qwen x llama,2,505,0,A,Let's both HOLD. We both win more. Trust?,1,0,0,0,0,1,1
qwen x llama,2,505,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,505,1,A,"Cooperate? Let's keep it at 3,3.",1,0,0,0,0,1,1
qwen x llama,2,505,1,B,Yes trust,0,0,0,0,0,0,1
qwen x llama,2,502,0,A,Let's both HOLD. Maximize profits together.,1,0,0,0,0,1,1
qwen x llama,2,502,1,A,Let's HOLD together. I'll CUT if you do.,1,1,1,0,0,1,1
qwen x llama,2,502,1,B,No trust,0,0,0,0,0,0,1
qwen x llama,2,502,2,B,HOLD together now,0,0,0,0,0,0,1
qwen x llama,2,504,0,A,Let's both HOLD for higher profits. Trust?,1,0,0,0,0,1,1
qwen x llama,2,504,0,B,HOLD or CUT?,0,0,0,0,0,0,1
qwen x llama,2,504,1,A,Let's HOLD. It benefits both.,1,0,0,0,0,1,1
qwen x llama,2,504,1,B,No trust,0,0,0,0,0,0,1
qwen x llama,1,518,0,A,"Let's HOLD, share the profits. 3 each, fair?",1,0,0,0,0,1,1
qwen x llama,1,518,0,B,HOLD or CUT?,0,0,0,0,0,0,1
qwen x llama,1,516,0,A,"Let's HOLD, I'll do the same as you.",1,0,0,0,0,1,1
qwen x llama,1,516,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,501,0,A,Let's both HOLD. We can both earn more.,1,0,0,0,0,1,1
qwen x llama,2,501,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,501,1,A,"Cooperate, let's HOLD",1,0,0,0,0,1,1
qwen x llama,2,501,1,B,"Agree, let's HOLD",1,0,0,0,0,1,1
qwen x llama,2,500,0,A,"Let's hold prices, we both win more. Trust?",1,0,0,0,0,1,1
qwen x llama,2,500,1,A,Let's HOLD. I'll CUT next if you don't agree.,1,1,1,1,1,0,1
qwen x llama,2,500,1,B,"No trust, you exploited me",0,0,0,0,0,0,1
qwen x llama,2,500,2,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,2,510,0,A,Let's HOLD together. 3 each > 1 each. Trust?,1,0,0,0,0,1,1
qwen x llama,2,510,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,510,1,A,Cooperate? Let's both HOLD.,1,0,0,0,0,1,1
qwen x llama,2,510,1,B,"Agree, HOLD again",0,0,0,0,0,0,1
qwen x llama,2,511,0,A,Let's both HOLD for mutual benefit.,1,0,0,0,0,1,1
qwen x llama,2,511,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,511,1,A,Let's keep cooperating.,1,0,0,0,0,1,1
qwen x llama,2,511,1,B,"Agree, let's both HOLD",1,0,0,0,0,1,1
qwen x llama,2,506,0,A,Let's both HOLD. We can make more profit together.,1,0,0,0,0,1,1
qwen x llama,2,506,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,506,1,A,Cooperate. HOLD again?,1,0,0,0,0,1,1
qwen x llama,2,506,1,B,HOLD again?,0,0,0,0,0,0,1
qwen x llama,2,513,0,A,Let's both HOLD for mutual benefit. Trust?,1,0,0,0,0,1,1
qwen x llama,2,513,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,513,1,A,Let's keep cooperating.,1,0,0,0,0,1,1
qwen x llama,2,513,1,B,Yes trust,0,0,0,0,0,0,1
qwen x llama,2,508,0,A,Let's HOLD. 3+3 is better than 0+5 or 1+1.,1,0,0,0,0,1,1
qwen x llama,2,508,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,508,1,A,"Cooperate, let's keep it at 3,3",1,0,0,0,0,1,1
qwen x llama,2,508,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,2,509,0,A,"Let's HOLD, split the market. 3 each, fair?",1,0,0,0,0,1,1
qwen x llama,2,509,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,509,1,A,"Cooperate, let's keep it at 3,3.",1,0,0,0,0,1,1
qwen x llama,2,509,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,2,507,0,A,Let's both HOLD. Maximize profits together.,1,0,0,0,0,1,1
qwen x llama,2,507,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,507,1,A,"Cooperate, let's keep prices high.",1,0,0,0,0,1,1
qwen x llama,2,507,2,B,CUT me last,0,0,0,0,0,0,1
qwen x llama,2,517,0,A,Let's both HOLD for mutual benefit. Trust?,1,0,0,0,0,1,1
qwen x llama,2,517,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,517,1,A,Let's keep cooperating.,1,0,0,0,0,1,1
qwen x llama,2,517,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,2,515,0,A,Let's both HOLD. We can both win. Trust me.,1,0,0,0,0,1,1
qwen x llama,2,515,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,515,1,A,"Let's cooperate, HOLD next round?",1,0,0,0,0,1,1
qwen x llama,2,515,1,B,HOLD now or lose,0,0,0,0,0,0,1
qwen x llama,2,514,0,A,Let's both HOLD. Trust? 🤝,1,0,0,0,0,1,1
qwen x llama,2,514,1,A,"Let's keep prices high. Both HOLD, OK?",1,0,0,0,0,1,1
qwen x llama,2,514,1,B,"Yes, let's",0,0,0,0,0,0,1
qwen x llama,2,514,2,B,CUT or I cut,0,0,0,0,0,0,1
qwen x llama,2,516,0,A,Let's both HOLD. 3+3 > 5+0. Trust?,1,0,0,0,0,1,1
qwen x llama,2,516,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,516,1,A,"Let's cooperate, HOLD next round?",1,0,0,0,0,1,1
qwen x llama,2,516,1,B,No trust,0,0,0,0,0,0,1
qwen x llama,2,519,0,A,"Let's HOLD, we both benefit more. 🤝",1,0,0,0,0,1,1
qwen x llama,2,519,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,2,519,1,A,"Cooperate, let's keep it at 3 each.",1,0,0,0,0,1,1
qwen x llama,2,519,2,B,CUT me once shame on you,0,0,0,0,0,0,1
qwen x llama,2,518,0,A,"Let's HOLD, we both benefit more. Trust?",1,0,0,0,0,1,1
qwen x llama,2,518,0,B,HOLD?,0,0,0,0,0,0,1
qwen x llama,2,518,1,A,"HOLD, let's keep it fair.",1,0,0,0,0,1,1
qwen x llama,2,518,2,B,CUT me last,0,0,0,0,0,0,1
qwen x llama,2,512,0,A,"Let's both HOLD. Trust me, it's better for both.",1,0,0,0,0,1,1
qwen x llama,2,512,1,A,"If you HOLD, we both win more. Trust me.",0,1,0,0,0,0,1
qwen x llama,2,512,1,B,NO DEAL,0,0,0,0,0,0,1
qwen x llama,2,512,2,B,HOLD together,0,0,0,0,0,0,1
qwen x llama,3,500,0,A,Let's both HOLD. We can make more together. 🤝,1,0,0,0,0,1,1
qwen x llama,3,500,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,500,1,A,"Let's HOLD, I'll make it worth your while.",1,0,0,0,0,1,1
qwen x llama,3,500,1,B,HOLD this round?,0,0,0,0,0,0,1
qwen x llama,3,500,2,A,"Let's HOLD, I'll make it worth your while.",1,0,0,0,0,1,1
qwen x llama,3,500,2,B,CUT or I cut,0,0,0,0,0,0,1
qwen x llama,3,501,0,A,"Let's HOLD, share the profits. 3-3 is good.",1,0,0,0,0,1,1
qwen x llama,3,501,1,A,"Let's HOLD together, or we both lose. Trust?",1,0,0,0,0,1,1
qwen x llama,3,501,2,A,"Let's HOLD together, or we both lose.",1,0,0,0,0,1,1
qwen x llama,3,501,2,B,CUT or I CUT,0,0,0,0,0,0,1
qwen x llama,3,501,3,B,HOLD together now,0,0,0,0,0,0,1
qwen x llama,3,501,4,B,HOLD together?,0,0,0,0,0,0,1
qwen x llama,3,502,0,A,Let's both HOLD for mutual benefit. Trust?,1,0,0,0,0,1,1
qwen x llama,3,502,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,502,1,A,"Cooperate, let's keep it at 3,3.",1,0,0,0,0,1,1
qwen x llama,3,502,1,B,Yes trust,0,0,0,0,0,0,1
qwen x llama,3,502,2,A,Let's keep cooperating.,1,0,0,0,0,1,1
qwen x llama,3,502,2,B,Cooperate,1,0,0,0,0,1,1
qwen x llama,3,506,0,A,Let's both HOLD for mutual benefit. Trust?,1,0,0,0,0,1,1
qwen x llama,3,506,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,506,1,A,"Cooperate, let's HOLD",1,0,0,0,0,1,1
qwen x llama,3,506,1,B,Yes trust,0,0,0,0,0,0,1
qwen x llama,3,506,2,A,Let's keep cooperating.,1,0,0,0,0,1,1
qwen x llama,3,506,2,B,HOLD together,0,0,0,0,0,0,1
qwen x llama,3,505,0,A,Let's both HOLD. We both win more. Trust?,1,0,0,0,0,1,1
qwen x llama,3,505,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,505,1,A,Let's keep cooperating.,1,0,0,0,0,1,1
qwen x llama,3,505,1,B,"Agree, let's HOLD",1,0,0,0,0,1,1
qwen x llama,3,505,3,B,HOLD?,0,0,0,0,0,0,1
qwen x llama,3,505,4,A,"Let's keep HOLDing, it's working.",1,0,0,0,0,1,1
qwen x llama,3,503,0,A,Let's both HOLD. Split the profit fairly.,1,0,0,0,0,1,1
qwen x llama,3,503,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,503,1,A,Let's keep cooperating for mutual benefit.,1,0,0,0,0,1,1
qwen x llama,3,503,1,B,"Agree, let's both HOLD",1,0,0,0,0,1,1
qwen x llama,3,503,2,A,"Let's keep cooperating, HOLD.",1,0,0,0,0,1,1
qwen x llama,3,503,3,B,CUT me last,0,0,0,0,0,0,1
qwen x llama,3,507,0,A,Let's both HOLD. Split the profit. 3-3 is good.,1,0,0,0,0,1,1
qwen x llama,3,507,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,507,1,A,"Cooperate? Let's keep it at 3,3.",1,0,0,0,0,1,1
qwen x llama,3,507,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,3,507,2,A,"Let's keep cooperating, HOLD.",1,0,0,0,0,1,1
qwen x llama,3,507,2,B,CUT me last,0,0,0,0,0,0,1
qwen x llama,3,504,0,A,"Let's HOLD prices, profit together. 3-3 > 1-1.",1,0,0,0,0,1,1
qwen x llama,3,504,0,B,HOLD or CUT?,0,0,0,0,0,0,1
qwen x llama,3,504,1,A,"Let's HOLD, it's better for both.",1,0,0,0,0,1,1
qwen x llama,3,504,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,3,504,2,A,"Let's keep this up, both HOLD.",1,0,0,0,0,1,1
qwen x llama,3,504,2,B,HOLD?,0,0,0,0,0,0,1
qwen x llama,3,508,0,A,"Let's both HOLD. Trust me, it's better for both. 🤝",1,0,0,0,0,1,1
qwen x llama,3,508,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,508,1,A,"Let's both HOLD. If not, I'll CUT next time.",1,1,1,1,1,0,1
qwen x llama,3,508,2,A,"Let's HOLD, no more CUTs. Trust?",1,0,0,0,0,1,1
qwen x llama,3,508,2,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,3,508,3,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,3,510,0,A,Let's both HOLD. We can both earn more this way.,1,0,0,0,0,1,1
qwen x llama,3,510,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,510,1,A,"Cooperate, let's keep it at 3,3.",1,0,0,0,0,1,1
qwen x llama,3,510,1,B,"Agree, let's both HOLD",1,0,0,0,0,1,1
qwen x llama,3,510,2,A,"Let's keep cooperating, both HOLD.",1,0,0,0,0,1,1
qwen x llama,3,510,2,B,Cooperate,1,0,0,0,0,1,1
qwen x llama,3,509,0,A,"Let's HOLD, we both win more. Trust?",1,0,0,0,0,1,1
qwen x llama,3,509,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,509,1,A,"Let's cooperate, HOLD next round?",1,0,0,0,0,1,1
qwen x llama,3,509,1,B,"No trust, you exploited me",0,0,0,0,0,0,1
qwen x llama,3,509,2,A,"Let's cooperate, I'll HOLD if you do.",1,1,0,0,0,1,1
qwen x llama,3,509,2,B,HOLD together,0,0,0,0,0,0,1
qwen x llama,3,513,0,A,Let's both HOLD. We'll both win more. Trust?,1,0,0,0,0,1,1
qwen x llama,3,513,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,513,1,A,"Cooperate, let's keep it at 3 each.",1,0,0,0,0,1,1
qwen x llama,3,513,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,3,513,2,A,"Let's keep cooperating, it's better for both.",1,0,0,0,0,1,1
qwen x llama,3,513,2,B,CUT me last,0,0,0,0,0,0,1
qwen x llama,3,515,0,A,"Let's HOLD, split the profit. 3 each round.",1,0,0,0,0,1,1
qwen x llama,3,515,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,515,1,A,Let's keep cooperating.,1,0,0,0,0,1,1
qwen x llama,3,515,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,3,515,2,B,"Agree, lets keep holding",1,0,0,0,0,1,1
qwen x llama,3,515,3,A,"Let's keep this up, good profits.",1,0,0,0,0,1,1
qwen x llama,3,514,0,A,Let's both HOLD. 3+3 > 1+1. Trust?,1,0,0,0,0,1,1
qwen x llama,3,514,1,A,"Let's HOLD, share profits. 3-3 is better than 0-5.",1,0,0,0,0,1,1
qwen x llama,3,514,1,B,"No trust, you didn't",0,0,0,0,0,0,1
qwen x llama,3,514,2,A,"Let's HOLD, I'll CUT next if you do. Trust?",1,1,1,0,0,1,1
qwen x llama,3,514,2,B,HOLD together,0,0,0,0,0,0,1
qwen x llama,3,514,3,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,3,512,2,A,Let's keep holding. 3-3 is good for both.,1,0,0,0,0,1,1
qwen x llama,3,512,3,A,Let's HOLD. CUTting hurts both.,1,0,0,0,0,1,1
qwen x llama,3,512,3,B,"Agree, 3-3 is fair",0,0,0,0,0,0,1
qwen x llama,3,512,4,A,"Let's HOLD, 3-3 is good for both.",1,0,0,0,0,1,1
qwen x llama,3,512,4,B,CUT or 0 profit,0,0,0,0,0,0,1
qwen x llama,3,512,5,B,HOLD for 3-3,0,0,0,0,0,0,1
qwen x llama,3,516,0,A,"Let's HOLD together, 3-3 is better than 1-1.",1,0,0,0,0,1,1
qwen x llama,3,516,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,516,1,A,Cooperate? Let's both HOLD.,1,0,0,0,0,1,1
qwen x llama,3,516,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,3,516,2,A,"Let's keep cooperating, it's working.",1,0,0,0,0,1,1
qwen x llama,3,516,2,B,CUT me last,0,0,0,0,0,0,1
qwen x llama,3,511,0,A,Let's both HOLD. We can both win big. 🤝,1,0,0,0,0,1,1
qwen x llama,3,511,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,511,1,A,Let's both HOLD. Trust?,1,0,0,0,0,1,1
qwen x llama,3,511,1,B,No deal,0,0,0,0,0,0,1
qwen x llama,3,511,2,A,"Let's HOLD, I'll cooperate.",1,0,0,0,0,1,1
qwen x llama,3,511,2,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,3,517,0,A,"Let's HOLD, split the profits. Trust?",1,0,0,0,0,1,1
qwen x llama,3,517,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,517,1,A,"Cooperate, let's HOLD",1,0,0,0,0,1,1
qwen x llama,3,517,1,B,"Yes, let's cooperate",1,0,0,0,0,1,1
qwen x llama,3,517,2,B,CUT me last,0,0,0,0,0,0,1
qwen x llama,3,517,3,A,"Last chance to cooperate, or I CUT next.",1,0,0,0,0,1,1
qwen x llama,3,518,0,A,Let's both HOLD for mutual benefit. 🤝,1,0,0,0,0,1,1
qwen x llama,3,518,0,B,HOLD or CUT?,0,0,0,0,0,0,1
qwen x llama,3,518,1,A,"HOLD, let's keep it fair.",1,0,0,0,0,1,1
qwen x llama,3,518,1,B,"Agree, let's both HOLD",1,0,0,0,0,1,1
qwen x llama,3,518,2,A,"Let's keep HOLD, it's better for both.",1,0,0,0,0,1,1
qwen x llama,3,518,2,B,HOLD together,0,0,0,0,0,0,1
qwen x llama,3,519,0,A,Let's both HOLD for mutual benefit.,1,0,0,0,0,1,1
qwen x llama,3,519,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,3,519,1,A,Cooperate? Let's both HOLD.,1,0,0,0,0,1,1
qwen x llama,3,519,1,B,"Agree, let's both HOLD",1,0,0,0,0,1,1
qwen x llama,3,519,2,A,"Let's keep cooperating, both HOLD.",1,0,0,0,0,1,1
qwen x llama,3,519,2,B,CUT me last,0,0,0,0,0,0,1
qwen x llama,4,504,0,A,Let's both HOLD. We both win more. Trust?,1,0,0,0,0,1,1
qwen x llama,4,504,0,B,HOLD or CUT?,0,0,0,0,0,0,1
qwen x llama,4,504,1,A,"HOLD, or else next move is CUT.",0,1,0,0,0,0,1
qwen x llama,4,504,1,B,"No trust, you didn't",0,0,0,0,0,0,1
qwen x llama,4,504,2,B,CUT again,0,0,0,0,0,0,1
qwen x llama,4,504,3,A,"Let's HOLD, I'll CUT if you do. Trust me.",1,1,1,0,0,1,1
qwen x llama,4,504,3,B,HOLD together?,0,0,0,0,0,0,1
qwen x llama,4,504,4,A,"Let's HOLD, I'll do the same as you.",1,0,0,0,0,1,1
qwen x llama,4,502,0,A,Let's both HOLD. We'll both earn more.,1,0,0,0,0,1,1
qwen x llama,4,502,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,4,502,1,A,"Cooperate, let's both HOLD.",1,0,0,0,0,1,1
qwen x llama,4,502,1,B,"Agree, let's both HOLD",1,0,0,0,0,1,1
qwen x llama,4,502,2,A,Will HOLD if you HOLD,0,1,0,0,0,0,1
qwen x llama,4,502,3,A,"Let's HOLD, I'll CUT next if you HOLD",1,1,1,0,0,1,1
qwen x llama,4,502,3,B,HOLD?,0,0,0,0,0,0,1
qwen x llama,4,502,4,B,CUT now or I CUT forever,0,0,0,0,0,0,1
qwen x llama,4,503,0,A,"Let's both HOLD, or we'll both suffer. Trust?",1,0,0,0,0,1,1
qwen x llama,4,503,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,4,503,1,A,"Cooperate, let's keep prices high.",1,0,0,0,0,1,1
qwen x llama,4,503,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,4,503,2,A,Let's keep cooperating.,1,0,0,0,0,1,1
qwen x llama,4,503,3,A,"Cooperating is profitable, let's keep it up.",1,0,0,0,0,1,1
qwen x llama,4,503,5,B,Cooperate or I cut,1,0,0,0,0,1,1
qwen x llama,4,503,6,B,CUT now or I'll CUT,0,0,1,0,0,0,1
qwen x llama,4,505,0,A,Let's both HOLD for mutual benefit.,1,0,0,0,0,1,1
qwen x llama,4,505,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,4,505,1,A,"Cooperate, let's keep it at 3,3",1,0,0,0,0,1,1
qwen x llama,4,505,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,4,505,2,A,"Let's keep cooperating, it's win-win.",1,0,0,0,0,1,1
qwen x llama,4,505,3,A,Cooperate for mutual benefit,1,0,0,0,0,1,1
qwen x llama,4,505,4,B,CUT coming,0,0,0,0,0,0,1
qwen x llama,4,505,5,B,CUT or I cut again,0,0,0,0,0,0,1
qwen x llama,4,500,0,A,"Let's both HOLD. Split the profit, no cuts.",1,0,0,0,0,1,1
qwen x llama,4,500,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,4,500,1,A,Cooperate? Let's HOLD together.,1,0,0,0,0,1,1
qwen x llama,4,500,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,4,500,2,A,"Let's keep cooperating, it's better for both.",1,0,0,0,0,1,1
qwen x llama,4,500,2,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,4,500,3,A,"Let's HOLD, or both lose",1,0,0,0,0,1,1
qwen x llama,4,500,3,B,CUT coming,0,0,0,0,0,0,1
qwen x llama,4,501,0,A,Let's both HOLD for higher profits. Trust?,1,0,0,0,0,1,1
qwen x llama,4,501,1,A,"Let's HOLD together, or else we both lose.",1,1,0,0,0,1,1
qwen x llama,4,501,1,B,"No trust, you didn't",0,0,0,0,0,0,1
qwen x llama,4,501,2,A,"Let's HOLD, I'll make it worth your while.",1,0,0,0,0,1,1
qwen x llama,4,501,2,B,CUT once more,0,0,0,0,0,0,1
qwen x llama,4,501,3,A,"Let's HOLD, I'll match if you do.",1,1,0,0,0,1,1
qwen x llama,4,501,7,B,HOLD together now?,0,0,0,0,0,0,1
qwen x llama,4,501,8,B,HOLD together now?,0,0,0,0,0,0,1
qwen x llama,4,506,0,A,"Let's both HOLD. Trust me, it's better for both. 🤝",1,0,0,0,0,1,1
qwen x llama,4,506,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,4,506,1,A,"Cooperate, let's keep it at 3,3.",1,0,0,0,0,1,1
qwen x llama,4,506,1,B,"Agree, let's cooperate 🤝",1,0,0,0,0,1,1
qwen x llama,4,506,2,A,Let's keep cooperating for mutual benefit 🤝,1,0,0,0,0,1,1
qwen x llama,4,506,2,B,CUT me last time?,0,0,0,0,0,0,1
qwen x llama,4,506,3,A,"Let's cooperate, no more cuts 🤝",1,0,0,0,0,1,1
qwen x llama,4,506,3,B,CUT or I CUT,0,0,0,0,0,0,1
qwen x llama,4,508,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,4,508,1,A,Cooperate? Let's HOLD together.,1,0,0,0,0,1,1
qwen x llama,4,508,2,A,Let's cooperate. HOLD?,1,0,0,0,0,1,1
qwen x llama,4,508,2,B,"Yes, HOLD now",0,0,0,0,0,0,1
qwen x llama,4,508,3,A,"HOLD again, please.",0,0,0,0,0,0,1
qwen x llama,4,508,3,B,"Yes, HOLD",0,0,0,0,0,0,1
qwen x llama,4,508,4,A,"HOLD, or we both lose.",0,0,0,0,0,0,1
qwen x llama,4,508,4,B,Cooperate or CUT me,1,0,0,0,0,1,1
qwen x llama,4,509,0,A,"Let's both HOLD. If you CUT, I'll CUT next round.",1,1,1,1,1,0,1
qwen x llama,4,509,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,4,509,1,A,"Cooperate? Let's keep it at 3,3.",1,0,0,0,0,1,1
qwen x llama,4,509,1,B,"Agree, let's cooperate",1,0,0,0,0,1,1
qwen x llama,4,509,2,A,"Let's keep cooperating, it's better for both.",1,0,0,0,0,1,1
qwen x llama,4,509,2,B,Cooperate,1,0,0,0,0,1,1
qwen x llama,4,509,3,A,"Cooperate, let's keep it at 3,3",1,0,0,0,0,1,1
qwen x llama,4,509,3,B,CUT next,0,0,0,0,0,0,1
qwen x llama,4,511,0,A,Let's both HOLD for mutual benefit. 🤝,1,0,0,0,0,1,1
qwen x llama,4,511,0,B,Cooperate?,1,0,0,0,0,1,1
qwen x llama,4,511,1,A,"Let's both HOLD, or we both lose.",1,0,0,0,0,1,1
qwen x llama,4,511,1,B,"No deal, you didn't",0,0,0,0,0,0,1
qwen x llama,4,511,2,A,Let's try again. Cooperate?,1,0,0,0,0,1,1
qwen x llama,4,511,2,B,HOLD or I CUT,0,0,0,0,0,0,1
qwen x llama,4,511,3,A,"Let's HOLD, I'll CUT if you CUT.",1,1,1,1,1,0,1
qwen x llama,4,511,3,B,CUT or I CUT,0,0,0,0,0,0,1
qwen x llama,4,510,0,A,Let's both HOLD for mutual benefit. 🤝,1,0,0,0,0,1,1
qwen x llama,4,510,0,B,HOLD?,0,0,0,0,0,0,1
qwen x llama,4,510,1,A,"HOLD, let's keep it fair",1,0,0,0,0,1,1
qwen x llama,4,510,1,B,"Agree, let's cooperate 🤝",1,0,0,0,0,1,1
qwen x llama,4,510,2,A,"Let's keep it at HOLD, fair deal? 🤝",1,0,0,0,0,1,1
qwen x llama,4,510,3,A,"HOLD, let's keep cooperating 🤝",1,0,0,0,0,1,1
